Type,Contract Name,Strike,Expiration,Target Price,Entry Price
Call,SPXW 2025-07-25 6330C,6330,2025-07-25,6.0,4.9
Call,SPXW 2025-07-25 6340C,6340,2025-07-25,6.0,4.9
Call,SPXW 2025-07-25 6350C,6350,2025-07-25,6.0,4.9
Call,SPXW 2025-07-25 6360C,6360,2025-07-25,6.0,4.9
Call,SPXW 2025-07-25 6370C,6370,2025-07-25,6.0,4.9
Call,SPXW 2025-07-25 6380C,6380,2025-07-25,6.0,4.9
Call,SPXW 2025-07-25 6390C,6390,2025-07-25,6.0,4.9
Call,SPXW 2025-07-25 6400C,6400,2025-07-25,6.0,4.9
Call,SPXW 2025-07-25 6410C,6410,2025-07-25,6.0,4.9
Call,SPXW 2025-07-25 6420C,6420,2025-07-25,6.0,4.9
Put,SPXW 2025-07-25 6330P,6330,2025-07-25,6.0,4.9
Put,SPXW 2025-07-25 6320P,6320,2025-07-25,6.0,4.9
Put,SPXW 2025-07-25 6310P,6310,2025-07-25,6.0,4.9
Put,SPXW 2025-07-25 6300P,6300,2025-07-25,6.0,4.9
Put,SPXW 2025-07-25 6290P,6290,2025-07-25,6.0,4.9
Put,SPXW 2025-07-25 6280P,6280,2025-07-25,6.0,4.9
Put,SPXW 2025-07-25 6270P,6270,2025-07-25,6.0,4.9
Put,SPXW 2025-07-25 6260P,6260,2025-07-25,6.0,4.9
Put,SPXW 2025-07-25 6250P,6250,2025-07-25,6.0,4.9
Put,SPXW 2025-07-25 6240P,6240,2025-07-25,6.0,4.9
